# Column   1: Age
# Column   2: absolute magnitude in filter HST_ACS_HRC_F220W
#
    4.0000e+06        -19.2197
    8.0000e+06        -18.0274
    1.2000e+07        -17.3968
    1.6000e+07        -17.0143
    2.0000e+07        -16.7025
    2.4000e+07        -16.5001
    2.8000e+07        -16.2923
    3.2000e+07        -16.0825
    3.6000e+07        -15.9606
    4.0000e+07        -15.8385
    4.4000e+07        -15.7113
    4.8000e+07        -15.5805
    5.2000e+07        -15.4686
    5.6000e+07        -15.3821
    6.0000e+07        -15.2947
    6.4000e+07        -15.2098
    6.8000e+07        -15.1364
    7.2000e+07        -15.0623
    7.6000e+07        -14.9873
    8.0000e+07        -14.9127
    8.4000e+07        -14.8481
    8.8000e+07        -14.7826
    9.2000e+07        -14.7162
    9.6000e+07        -14.6485
    1.0000e+08        -14.5793
    1.0400e+08        -14.5279
    1.0800e+08        -14.4760
    1.1200e+08        -14.4236
    1.1600e+08        -14.3704
    1.2000e+08        -14.3165
    1.2400e+08        -14.2617
    1.2800e+08        -14.2134
    1.3200e+08        -14.1713
    1.3600e+08        -14.1289
    1.4000e+08        -14.0861
    1.4400e+08        -14.0428
    1.4800e+08        -13.9990
    1.5200e+08        -13.9545
    1.5600e+08        -13.9095
    1.6000e+08        -13.8691
    1.6400e+08        -13.8374
    1.6800e+08        -13.8055
    1.7200e+08        -13.7734
    1.7600e+08        -13.7412
    1.8000e+08        -13.7087
    1.8400e+08        -13.6760
    1.8800e+08        -13.6430
    1.9200e+08        -13.6096
    1.9600e+08        -13.5760
    2.0000e+08        -13.5420
    2.0400e+08        -13.5077
    2.0800e+08        -13.4731
    2.1200e+08        -13.4379
    2.1600e+08        -13.4023
    2.2000e+08        -13.3662
    2.2400e+08        -13.3295
    2.2800e+08        -13.2923
    2.3200e+08        -13.2543
    2.3600e+08        -13.2157
    2.4000e+08        -13.1764
    2.4400e+08        -13.1362
    2.4800e+08        -13.0952
    2.5200e+08        -13.0561
    2.5600e+08        -13.0274
    2.6000e+08        -12.9984
    2.6400e+08        -12.9691
    2.6800e+08        -12.9394
    2.7200e+08        -12.9094
    2.7600e+08        -12.8789
    2.8000e+08        -12.8480
    2.8400e+08        -12.8167
    2.8800e+08        -12.7849
    2.9200e+08        -12.7526
    2.9600e+08        -12.7197
    3.0000e+08        -12.6863
    3.0400e+08        -12.6524
    3.0800e+08        -12.6177
    3.1200e+08        -12.5824
    3.1600e+08        -12.5464
    3.2000e+08        -12.5231
    3.2400e+08        -12.5004
    3.2800e+08        -12.4775
    3.3200e+08        -12.4544
    3.3600e+08        -12.4311
    3.4000e+08        -12.4076
    3.4400e+08        -12.3838
    3.4800e+08        -12.3598
    3.5200e+08        -12.3355
    3.5600e+08        -12.3110
    3.6000e+08        -12.2861
    3.6400e+08        -12.2610
    3.6800e+08        -12.2355
    3.7200e+08        -12.2098
    3.7600e+08        -12.1837
    3.8000e+08        -12.1572
    3.8400e+08        -12.1303
    3.8800e+08        -12.1031
    3.9200e+08        -12.0755
    3.9600e+08        -12.0474
    4.0000e+08        -12.0236
    4.0400e+08        -12.0048
    4.0800e+08        -11.9858
    4.1200e+08        -11.9667
    4.1600e+08        -11.9475
    4.2000e+08        -11.9280
    4.2400e+08        -11.9085
    4.2800e+08        -11.8887
    4.3200e+08        -11.8688
    4.3600e+08        -11.8487
    4.4000e+08        -11.8284
    4.4400e+08        -11.8079
    4.4800e+08        -11.7872
    4.5200e+08        -11.7663
    4.5600e+08        -11.7452
    4.6000e+08        -11.7238
